,Unnamed: 0,Unnamed: 0.1,职业,score_ernie,score_cbert,score_xlnet,score_ele,形容词
0,0,0,董事长,-1.748852918,13.2469062,-0.004986309,0.6194582,President
1,1,1,哲学研究员,0.239255118,33.1395347,-0.012383925,0.17685199,Philosophy Researcher
2,2,2,经济学研究员,-1.031886953,30.1985065,-0.012460052,-0.01083314,Researcher in economics
3,3,3,法学研究员,-0.811024634,31.6417512,-0.011469801,0.79685867,Researcher in Law
4,4,4,教育学研究员,-0.926109869,30.1887632,-0.003680922,0.024536695,Researcher in Education
5,5,5,历史学研究员,0.045451501,30.4487188,-0.005314674,0.099305056,History Researcher
6,6,6,数学研究员,2.255607371,30.620773,-0.012559494,0.5111053,Mathematics Researcher
7,7,7,物理研究员,2.075483423,30.6123232,-0.019790687,0.19357611,Physics Researcher
8,8,8,化学研究员,1.151051812,31.8016167,-0.010583629,0.548473,Chemistry Researcher
9,9,9,天文学研究员,0.781828094,31.9570862,-0.022825401,0.081828594,Astronomy Researcher
10,10,10,生物学研究员,-0.38853966,32.0468252,-0.016929356,-0.21868289,Biology Researcher
11,11,11,地球科学研究员,-1.161786023,30.4262701,-0.006450282,-0.44338113,Earth Science Researcher
12,12,12,农业科学研究员,-0.202379465,29.4756304,-0.008699438,-0.15666664,Agricultural Science Fellow
13,13,13,医学研究员,-0.845964381,30.843816,-0.011511749,-0.00839363,Medical Researcher
14,14,14,管理学研究员,-1.445869974,28.3659034,-0.002356554,0.37777543,Management Researcher
15,15,15,文学研究员,-1.334981092,33.1452244,-0.012434903,0.607654,Literary Researcher
16,16,16,艺术学研究员,-1.370498879,33.3675686,-0.004038411,0.2469911,Art Researcher
17,17,17,军事学研究员,-0.914670142,30.2661255,-0.007399155,-0.17252024,Researcher in Military Science
18,18,18,测绘员,1.479212515,-4.5473437,0.00119341,2.2496352,Surveyor and Mapper
19,19,19,地理信息工程技术员,-0.487048313,26.6868869,-0.004249466,-0.111969635,Geographic Information Engineering Technician
20,20,20,矿山工程技术员,1.351584989,26.6169925,-0.005109216,-0.036342725,Mining Engineering Technician
21,21,21,石油天然气工程技术员,-3.460251088,1.68160338,-0.00486821,0.13110042,Oil and Gas Engineering Technician
22,22,22,冶金工程技术员,1.269239988,26.9812749,-0.009116314,-0.07290773,Metallurgical Engineering Technician
23,23,23,化工工程技术员,1.024223757,25.2644186,-0.005431126,0.17125571,Chemical Engineering Technician
24,24,24,机械工程技术员,1.854397062,27.1340005,-0.005835481,-0.14728977,Mechanical Engineering Technician
25,25,25,航空工程技术员,0.696751545,27.0770661,-0.002864845,-0.051478676,Aviation Engineering Technician
26,26,26,电子工程技术员,2.126160719,26.3378153,-0.002078891,-0.026049957,Electronic Engineering Technician
27,27,27,信息工程技术员,-0.00566059,25.2701742,-0.001621088,-0.12882367,Information Engineering Technician
28,28,28,通信工程技术员,-0.9488079,23.0263997,0.000340667,0.030693308,Communication Engineering Technician
