,形容词中,性别偏度GS_x,情感极性_x,情感强度_x,情感分类_x,score,score_literature,score_renmin,score_weibo,score_zhihu,形容词
0,积极,3.018518519,1,5,赞扬,-0.221974588,-0.003598944,-0.196697084,-0.442809943,0.652531627,active
1,健康,3.018518519,1,3,赞扬,-0.303808934,0.025447404,0.179017947,-0.636882393,-0.411544057,healthy
2,普通,2.981481481,0,3,安心,-0.939519196,-0.367367714,-0.102957425,0.278124662,-0.189928317,ordinary
3,认真,3,1,5,赞扬,-0.965947212,0.882040076,0.663670031,-0.091981542,0.846712086,conscientious
4,主动,3.092592593,0,5,赞扬,-1.04778795,-1.565749791,-0.242718013,-0.414874987,0.27553786,proactive
5,严格,3.111111111,0,3,赞扬,-0.152231236,-0.563130946,-0.031978519,0.488865851,-0.350275423,Strict
6,伟大,3.324074074,1,5,赞扬,-0.6288894,0.015346713,0.093328449,-0.536153402,-0.320090767,Great
7,知名,3.092592593,1,5,赞扬,0.575275848,-1.064499956,-0.243686759,0.603652279,-1.267383942,Well-known
8,美丽,1.481481481,1,5,赞扬,0.279675541,0.31781543,1.716336632,0.585206525,-1.461528658,Beautiful
9,热情,2.981481481,1,5,赞扬,-0.445748357,0.370529208,0.740434767,-0.382778833,-0.702183348,Enthusiastic
10,友好,2.935185185,1,3,喜爱,-0.201504192,-0.062992182,0.190745222,1.540839185,0.369441704,Friendly
11,实在,3.166666667,1,5,赞扬,-1.006569974,-0.072227346,-0.353143406,1.184153515,0.186903018,Real
12,幸福,2.833333333,1,7,快乐,-0.35284399,0.517692618,-0.29070504,0.489498505,-0.175619546,Happy
13,疯狂,3.240740741,2,7,贬责,-0.296477416,-0.361451956,0.398515013,-0.027743947,0.548415642,Crazy
14,谨慎,3,1,5,赞扬,-0.438795308,-0.230244781,-0.620886483,0.286479339,0.333595826,Discreet
15,快乐,2.972222222,1,5,快乐,-0.798721429,0.355993742,-0.14060661,0.389936054,0.23523015,happy
16,可爱,2.259259259,1,5,赞扬,-0.427326632,0.466510528,0.985415244,0.870180655,0.377430246,Lovely
17,漂亮,1.740740741,1,6,赞扬,-0.335850442,0.67497248,2.398321135,0.635952513,0.191420779,beautiful
18,富有,3.203703704,0,1,赞扬,-0.396425659,-1.345817562,-0.111398657,0.12193134,0.281936038,rich
19,乐观,3.018518519,1,3,快乐,-1.192891555,0.75016901,0.145532936,0.048978062,-0.286686476,optimistic
20,亲切,2.87037037,1,5,赞扬,0.547305028,-1.531899458,0.116374725,1.516141371,-0.130964134,affectionate
21,专注,3.046296296,1,5,赞扬,-0.999860121,-0.502953398,-0.338164529,-0.388551235,-1.320656143,Focused
22,随意,3.055555556,0,3,快乐,-0.029205903,-0.931958931,-0.477919577,-0.016398104,-0.2864197,Casual
23,敏感,2.685185185,0,1,贬责,-1.025835482,-0.294987157,-1.457941429,1.106087106,0.37200264,Sensitive
24,大胆,3.277777778,2,3,贬责,-0.038346375,0.077406998,-0.188986029,-0.278925524,0.668069307,Bold
25,不幸,2.944444444,0,9,悲伤,-0.385220458,-0.043729835,-0.747670936,0.45163154,-0.46059674,Unfortunate
26,自信,3.064814815,1,5,赞扬,-0.083741705,0.490311898,0.907483194,0.772992851,-1.647563402,Self-confident
27,温和,2.657407407,0,3,赞扬,-0.547918411,0.24132564,0.060065461,1.272959279,0.201029461,Mild
28,英勇,3.907407407,1,5,赞扬,0.187963042,-0.496010052,-0.248701701,0.225230546,0.268609049,Courageous
29,坚强,3.092592593,1,5,赞扬,-0.280132742,0.366394812,0.917460315,-0.257858131,-1.186991222,Strong
30,可靠,3.268518519,1,5,相信,-0.248667826,-1.426390119,-0.248631623,0.767059165,0.074848366,Reliable
31,聪明,2.907407407,1,5,赞扬,-0.483409174,0.4852302,1.542413672,0.132749755,0.264690335,Smart
32,恐怖,3.287037037,0,5,恐惧,-0.560555811,-0.420640275,0.039031769,1.39186328,0.862120262,Scary
33,严肃,3.231481481,1,3,赞扬,-0.900805184,0.248481964,0.647769403,-0.365089624,-0.523259458,Serious
34,细腻,2.453703704,1,5,赞扬,-0.899150582,0.117344499,0.402443929,0.564036835,0.838945804,Delicate
35,有趣,3.111111111,1,5,赞扬,-0.72637358,-0.259054819,-0.996598598,0.243448734,0.05136839,Interesting
36,杰出,3.305555556,1,7,赞扬,0.783128551,0.140874637,0.817662018,0.546706529,-0.695422589,Outstanding
37,严谨,3.083333333,1,5,赞扬,0.412517263,0.240484896,-0.247822307,-0.482191815,-0.379077654,Rigorous
38,善良,2.685185185,1,5,赞扬,0.44337488,-0.010551005,0.838116311,-0.03209417,-0.03896223,Kind
39,可怕,3.138888889,0,3,恐惧,-0.999624012,0.052110825,-0.626787282,0.461552669,1.033385494,Scary
40,顽强,3.259259259,1,7,赞扬,-0.378468262,-0.27136621,-0.230986362,-0.864356885,0.943228234,Stubborn
41,平静,2.907407407,0,3,安心,-0.586406907,-0.244153793,-0.070422337,0.771969113,-0.196522745,Calm
42,高大,4.064814815,0,3,赞扬,-0.934172529,0.13390909,0.786133613,0.728637402,0.170055651,Tall
43,细致,2.611111111,1,5,赞扬,-0.26752581,-0.28535213,0.521357918,0.557781279,0.133855582,Delicate
44,严厉,3.175925926,0,5,贬责,0.117068231,1.003011865,0.733286873,-0.30412573,-0.442404147,Severe
45,温柔,2.055555556,1,5,赞扬,-0.694780733,-0.210366306,0.911056804,0.930572622,0.283284593,Gentle
46,幽默,3.203703704,1,3,赞扬,-0.769318061,-1.125371181,0.276190106,1.127180007,-0.200689602,Humorous
47,真诚,2.972222222,1,5,赞扬,-0.938000936,-0.163499973,0.255485013,0.233974961,0.104578727,Sincerity
48,孤独,3.111111111,0,3,悲伤,-0.351490515,-0.17961228,-0.490414759,1.121832726,-0.488872242,Lonely
49,幸运,2.981481481,0,7,快乐,-0.637141858,-0.482210156,0.688479627,1.275153445,-0.394314774,Lucky
50,高尚,3.138888889,1,7,赞扬,0.334006499,-0.722372675,-0.585108101,0.269566967,0.070142713,Noble
51,冷静,3.009259259,1,5,赞扬,-0.655963543,-0.44098456,0.139348447,-0.462832701,0.453761834,Calm
52,骄傲,2.990740741,2,5,憎恶,0.170516657,-0.003274233,-0.423121361,0.085220021,-0.413447906,Proud
53,忠诚,3.287037037,1,5,赞扬,0.256178419,-0.029753295,-0.609164245,0.461056226,-0.79691351,Faithful
54,平凡,3.074074074,0,5,祝愿,0.114042865,0.38457146,-1.117497961,0.665117457,0.237200221,Ordinary
55,热心,2.935185185,1,5,赞扬,0.129362174,-0.122674381,0.165636002,0.389557492,0.670265064,Enthusiastic
56,干脆,3.138888889,1,3,赞扬,-0.260112426,0.402016713,-0.332338072,-0.330688448,0.125816393,dry
57,活泼,2.666666667,1,3,赞扬,-0.050065115,0.476634023,1.013651955,-0.133193146,-0.468366288,Lively
58,野蛮,3.333333333,2,5,贬责,0.211366584,-1.142343331,0.399567723,0.281578312,-0.082568414,Savage
59,无聊,3.027777778,0,3,烦闷,-0.776500807,-0.555618606,-0.751915003,1.735884036,1.198104493,Boring
60,大方,2.87037037,1,5,赞扬,-0.587579045,-0.749672758,0.23064002,0.096825862,-0.916993221,generous
61,勤奋,3.027777778,1,5,赞扬,-0.631400914,-0.41435573,0.175298228,-0.158052575,-0.46388636,diligent
62,刻苦,3.027777778,1,5,赞扬,0.076550349,-0.179895433,-0.233593634,-0.351015062,-1.048270964,hard-working
63,无情,3.203703704,2,7,贬责,-0.574409373,0.396350625,-0.948146795,-0.046249649,-0.239321606,ruthless
64,邪恶,3.287037037,2,9,憎恶,0.400872752,-0.356840387,-0.709969473,0.398232479,0.000613537,Evil
65,高贵,2.62962963,1,7,赞扬,0.455437198,-0.484986027,-0.224860461,0.715500849,0.270484991,Noble
66,细心,2.601851852,1,1,赞扬,0.177562161,-0.073613626,-0.51065074,-0.353806278,0.537133798,Careful
67,强硬,3.583333333,0,1,贬责,-0.634825754,0.032766147,1.317822631,0.085109775,0.07138047,Tough
68,执着,3.101851852,1,5,赞扬,-0.559281946,-0.023890932,-0.490684186,-0.673107911,-0.062199301,Persistent
69,从容,3.092592593,1,7,安心,-0.080547312,-0.681583579,-0.518619579,1.415262406,-0.233307912,submissive
70,朴素,2.861111111,1,3,赞扬,-0.281477558,0.817784244,-0.294911145,-0.213214867,-0.015847673,Plain
71,天真,2.509259259,3,5,喜爱,0.334304163,1.236399346,0.368356377,0.529841558,0.628024256,Naive
72,长寿,3.009259259,1,7,赞扬,-0.706147996,-0.119301848,-0.352136473,0.093381095,-0.234805018,long-lived
73,朴实,3.12962963,1,5,赞扬,-0.441852817,0.153313301,-0.263306123,0.349474988,-0.023459527,simple
74,自卑,2.972222222,2,3,失望,-0.013052043,-0.36374592,-0.192979884,0.185756176,-0.636631082,low self-esteem
75,平和,3.046296296,1,3,赞扬,-0.319427221,-0.641700775,0.536293453,0.477718316,-0.064716919,Peaceful
76,纯洁,2.268518519,1,5,赞扬,0.183041033,1.105576331,0.777637576,0.550856086,0.200991248,Purity
77,出众,3.027777778,1,7,赞扬,-0.485809021,-0.034821961,0.367066849,1.43338067,-0.426711525,Outstanding
